"survey","site","rep","speciescode","observed"
"acoustic",1,1,"AUKP",1
"acoustic",1,1,"AUMP",1
"acoustic",1,1,"AURV",0
"acoustic",1,1,"BHHE",0
"acoustic",1,1,"BHON",0
"acoustic",1,1,"BRCD",0
"acoustic",1,1,"BRGH",0
"acoustic",1,1,"BRTB",1
"acoustic",1,1,"CRHE",0
"acoustic",1,1,"CROS",1
"acoustic",1,1,"CRST",0
"acoustic",1,1,"DUWS",0
"acoustic",1,1,"EASB",1
"acoustic",1,1,"EAWB",0
"acoustic",1,1,"EAYR",0
"acoustic",1,1,"GGCT",0
"acoustic",1,1,"GLDW",1
"acoustic",1,1,"GRBB",0
"acoustic",1,1,"GRFT",0
"acoustic",1,1,"GRST",1
"acoustic",1,1,"JWNT",0
"acoustic",1,1,"LEHE",0
"acoustic",1,1,"LKKB",0
"acoustic",1,1,"NHHE",0
"acoustic",1,1,"PCUR",1
"acoustic",1,1,"PFCN",0
"acoustic",1,1,"PLTB",0
"acoustic",1,1,"REDW",0
"acoustic",1,1,"ROSR",0
"acoustic",1,1,"RUFT",0
"acoustic",1,1,"SAFC",0
"acoustic",1,1,"SBOW",0
"acoustic",1,1,"SCCT",0
"acoustic",1,1,"SEYE",1
"acoustic",1,1,"SLYB",1
"acoustic",1,1,"SPAR",0
"acoustic",1,1,"STTB",1
"acoustic",1,1,"VAFW",0
"acoustic",1,1,"WBIL",0
"acoustic",1,1,"WBSW",0
"acoustic",1,1,"WEHE",1
"acoustic",1,1,"WONP",0
"acoustic",1,1,"WTGY",0
"acoustic",1,1,"WTTC",1
"acoustic",1,1,"YETB",0
"acoustic",1,1,"YFHE",1
"acoustic",1,1,"YTBC",0
"acoustic",1,1,"YTSW",0
"acoustic",1,2,"AUKP",1
"acoustic",1,2,"AUMP",0
"acoustic",1,2,"AURV",0
"acoustic",1,2,"BHHE",0
"acoustic",1,2,"BHON",0
"acoustic",1,2,"BRCD",0
"acoustic",1,2,"BRGH",0
"acoustic",1,2,"BRTB",1
"acoustic",1,2,"CRHE",0
"acoustic",1,2,"CROS",1
"acoustic",1,2,"CRST",0
"acoustic",1,2,"DUWS",0
"acoustic",1,2,"EASB",1
"acoustic",1,2,"EAWB",1
"acoustic",1,2,"EAYR",0
"acoustic",1,2,"GGCT",0
"acoustic",1,2,"GLDW",1
"acoustic",1,2,"GRBB",0
"acoustic",1,2,"GRFT",1
"acoustic",1,2,"GRST",1
"acoustic",1,2,"JWNT",0
"acoustic",1,2,"LEHE",0
"acoustic",1,2,"LKKB",0
"acoustic",1,2,"NHHE",1
"acoustic",1,2,"PCUR",1
"acoustic",1,2,"PFCN",0
"acoustic",1,2,"PLTB",0
"acoustic",1,2,"REDW",0
"acoustic",1,2,"ROSR",0
"acoustic",1,2,"RUFT",0
"acoustic",1,2,"SAFC",0
"acoustic",1,2,"SBOW",1
"acoustic",1,2,"SCCT",1
"acoustic",1,2,"SEYE",0
"acoustic",1,2,"SLYB",1
"acoustic",1,2,"SPAR",0
"acoustic",1,2,"STTB",1
"acoustic",1,2,"VAFW",0
"acoustic",1,2,"WBIL",0
"acoustic",1,2,"WBSW",0
"acoustic",1,2,"WEHE",0
"acoustic",1,2,"WONP",0
"acoustic",1,2,"WTGY",0
"acoustic",1,2,"WTTC",1
"acoustic",1,2,"YETB",0
"acoustic",1,2,"YFHE",1
"acoustic",1,2,"YTBC",1
"acoustic",1,2,"YTSW",0
"acoustic",1,3,"AUKP",1
"acoustic",1,3,"AUMP",1
"acoustic",1,3,"AURV",0
"acoustic",1,3,"BHHE",0
"acoustic",1,3,"BHON",0
"acoustic",1,3,"BRCD",0
"acoustic",1,3,"BRGH",0
"acoustic",1,3,"BRTB",1
"acoustic",1,3,"CRHE",0
"acoustic",1,3,"CROS",1
"acoustic",1,3,"CRST",0
"acoustic",1,3,"DUWS",0
"acoustic",1,3,"EASB",1
"acoustic",1,3,"EAWB",0
"acoustic",1,3,"EAYR",0
"acoustic",1,3,"GGCT",0
"acoustic",1,3,"GLDW",0
"acoustic",1,3,"GRBB",0
"acoustic",1,3,"GRFT",1
"acoustic",1,3,"GRST",1
"acoustic",1,3,"JWNT",0
"acoustic",1,3,"LEHE",0
"acoustic",1,3,"LKKB",0
"acoustic",1,3,"NHHE",1
"acoustic",1,3,"PCUR",1
"acoustic",1,3,"PFCN",0
"acoustic",1,3,"PLTB",0
"acoustic",1,3,"REDW",0
"acoustic",1,3,"ROSR",0
"acoustic",1,3,"RUFT",0
"acoustic",1,3,"SAFC",0
"acoustic",1,3,"SBOW",0
"acoustic",1,3,"SCCT",1
"acoustic",1,3,"SEYE",1
"acoustic",1,3,"SLYB",0
"acoustic",1,3,"SPAR",0
"acoustic",1,3,"STTB",0
"acoustic",1,3,"VAFW",0
"acoustic",1,3,"WBIL",0
"acoustic",1,3,"WBSW",0
"acoustic",1,3,"WEHE",0
"acoustic",1,3,"WONP",0
"acoustic",1,3,"WTGY",0
"acoustic",1,3,"WTTC",1
"acoustic",1,3,"YETB",0
"acoustic",1,3,"YFHE",1
"acoustic",1,3,"YTBC",0
"acoustic",1,3,"YTSW",0
"acoustic",1,4,"AUKP",1
"acoustic",1,4,"AUMP",1
"acoustic",1,4,"AURV",0
"acoustic",1,4,"BHHE",0
"acoustic",1,4,"BHON",0
"acoustic",1,4,"BRCD",0
"acoustic",1,4,"BRGH",0
"acoustic",1,4,"BRTB",1
"acoustic",1,4,"CRHE",0
"acoustic",1,4,"CROS",1
"acoustic",1,4,"CRST",0
"acoustic",1,4,"DUWS",0
"acoustic",1,4,"EASB",1
"acoustic",1,4,"EAWB",0
"acoustic",1,4,"EAYR",0
"acoustic",1,4,"GGCT",0
