"","spnum","speciescode","scientificname","commonname","foragingstratum","foragingtype"
"1",1,"AUKP","Alisterus scapularis","Australian King-Parrot","all","omnivore"
"2",2,"AUMP","Cracticus tibicen","Australian Magpie","ground/understorey","carnivore"
"3",3,"AURV","Corvus coronoides","Australian Raven","ground/understorey","carnivore"
"4",4,"BHHE","Melithreptus brevirostris","Brown-headed Honeyeater","all","nectarivore/insectivore"
"5",5,"BHON","Lichmera indistincta","Brown Honeyeater","all","nectarivore/insectivore"
"6",6,"BRCD","Macropygia amboinensis","Brown Cuckoo-Dove","all","granivore/frugivore"
"7",7,"BRGH","Accipiter fasciatus","Brown Goshawk","aerial/ground","carnivore"
"8",8,"BRTB","Acanthiza pusilla","Brown Thornbill","all","insectivore"
"9",9,"CRHE","Phylidonyris pyrrhopterus","Crescent Honeyeater","all","nectarivore/insectivore"
"10",10,"CROS","Platycercus elegans","Crimson Rosella","canopy/subcanopy","omnivore"
"11",11,"CRST","Falcunculus frontatus","Crested Shrike-tit","all","insectivore"
"12",12,"DUWS","Artamus cyanopterus","Dusky Woodswallow","all","insectivore"
"13",13,"EASB","Acanthorhynchus tenuirostris","Eastern Spinebill","all","nectarivore/insectivore"
"14",14,"EAWB","Psophodes olivaceus","Eastern Whipbird","ground/understorey","insectivore"
"15",15,"EAYR","Eopsaltria australis","Eastern Yellow Robin","all","insectivore"
"16",16,"GGCT","Callocephalon fimbriatum","Gang-Gang Cockatoo","canopy/subcanopy","granivore/frugivore"
"17",17,"GLDW","Pachycephala pectoralis","Golden Whistler","all","insectivore"
"18",18,"GRBB","Cracticus torquatus","Grey Butcherbird","all","carnivore"
"19",19,"GRFT","Rhipidura albiscapa","Grey Fantail","all","insectivore"
"20",20,"GRST","Colluricincla harmonica","Grey Shrike-thrush","all","insectivore"
"21",21,"JWNT","Microeca fascinans","Jacky Winter","all","insectivore"
"22",22,"LEHE","Meliphaga lewinii","Lewin's Honeyeater","all","omnivore"
"23",23,"LKKB","Dacelo novaeguineae","Laughing Kookaburra","all","carnivore"
"24",24,"NHHE","Phylidonyris novaehollandiae","New Holland Honeyeater","all","nectarivore/insectivore"
"25",25,"PCUR","Strepera graculina","Pied Currawong","all","omnivore"
"26",26,"PFCN","Falco peregrinus","Peregrine Falcon","aerial/ground","carnivore"
"27",27,"PLTB","Pycnoptilus floccosus","Pilotbird","ground/understorey","insectivore"
"28",28,"REDW","Anthochaera carunculata","Red Wattlebird","all","nectarivore/insectivore"
"29",29,"ROSR","Petroica rosea","Rose Robin","all","insectivore"
"30",30,"RUFT","Rhipidura rufifrons","Rufous Fantail","all","insectivore"
"31",31,"SAFC","Myiagra cyanoleuca","Satin Flycatcher","canopy/subcanopy","insectivore"
"32",32,"SBOW","Ptilonorhynchus violaceus","Satin Bowerbird","all","granivore/frugivore"
"33",33,"SCCT","Cacatua galerita","Sulphur-crested Cockatoo","all","granivore/frugivore"
"34",34,"SEYE","Zosterops lateralis","Silvereye","all","omnivore"
"35",35,"SLYB","Menura novaehollandiae","Superb Lyrebird","ground/understorey","insectivore"
"36",36,"SPAR","Pardalotus punctatus","Spotted Pardalote","canopy/subcanopy","insectivore"
"37",37,"STTB","Acanthiza lineata","Striated Thornbill","canopy/subcanopy","insectivore"
"38",38,"VAFW","Malurus lamberti","Varigated Fairy-wren","ground/understorey","insectivore"
"39",39,"WBIL","Smicrornis brevirostris","Weebill","canopy/subcanopy","insectivore"
"40",40,"WBSW","Sericornis frontalis","White-browed Scrubwren","ground/understorey","insectivore"
"41",41,"WEHE","Lichenostomus leucotis","White-eared Honeyeater","all","nectarivore/insectivore"
"42",42,"WONP","Leucosarcia melanoleuca","Wonga Pigeon","ground/understorey","granivore/frugivore"
"43",43,"WTGY","Gerygone olivacea","White-throated Gerygone","canopy/subcanopy","insectivore"
"44",44,"WTTC","Cormobates leucophaea","White-throated Treecreeper","all","insectivore"
"45",45,"YETB","Acanthiza nana","Yellow Thornbill","canopy/subcanopy","insectivore"
"46",46,"YFHE","Lichenostomus chrysops","Yellow-faced Honeyeater","all","omnivore"
"47",47,"YTBC","Calyptorhynchus funereus","Yellow-tailed Black Cockatoo","all","omnivore"
"48",48,"YTSW","Sericornis citreogularis","Yellow-throated Scrubwren","ground/understorey","insectivore"
